id,label,actual_qps,p50,p95,count,errors,error_rate
"2025-10-09-014134_cva_baseline_3k","cva-baseline-3k",2999.932889626301,0.0005333057133401009,0.0009917970595875456,360000,24,6.666666666666667e-05
"2025-10-09-231904_cva_baseline_3k","cva-baseline-3k",2999.8663469046487,0.0005313229644690376,0.0009915674034757945,180000,0,0
"2025-10-10-000053_baseline_3k","baseline-3k",2999.857463222566,0.000537324638911601,0.000991817074960926,180000,0,0
